txid	name	species	genus	family	order
38626	PHASCOLARCTOS_CINEREUS	Phascolarctos cinereus	Phascolarctos	Phascolarctidae	Diprotodontia
9305	SARCOPHILUS_HARRISII	Sarcophilus harrisii	Sarcophilus	Dasyuridae	Dasyuromorphia
13616	MONODELPHIS_DOMESTICA	Monodelphis domestica	Monodelphis	Didelphidae	Didelphimorphia
9365	ERINACEUS_EUROPAEUS	Erinaceus europaeus	Erinaceus	Erinaceidae	Eulipotyphla
42254	SOREX_ARANEUS	Sorex araneus	Sorex	Soricidae	Eulipotyphla
143302	CONDYLURA_CRISTATA	Condylura cristata	Condylura	Talpidae	Eulipotyphla
9691	PANTHERA_PARDUS	Panthera pardus	Panthera	Felidae	Carnivora
9694	PANTHERA_TIGRIS	Panthera tigris	Panthera	Felidae	Carnivora
32536	ACINONYX_JUBATUS	Acinonyx jubatus	Acinonyx	Felidae	Carnivora
9685	FELIS_CATUS	Felis catus	Felis	Felidae	Carnivora
34882	ENHYDRA_LUTRIS	Enhydra lutris	Enhydra	Mustelidae	Carnivora
9668	MUSTELA_PUTORIUS	Mustela putorius	Mustela	Mustelidae	Carnivora
9713	LEPTONYCHOTES_WEDDELLII	Leptonychotes weddellii	Leptonychotes	Phocidae	Carnivora
9707	ODOBENUS_ROSMARUS	Odobenus rosmarus	Odobenus	Odobenidae	Carnivora
9646	AILUROPODA_MELANOLEUCA	Ailuropoda melanoleuca	Ailuropoda	Ursidae	Carnivora
29073	URSUS_MARITIMUS	Ursus maritimus	Ursus	Ursidae	Carnivora
9612	CANIS_LUPUS	Canis lupus	Canis	Canidae	Carnivora
9974	MANIS_JAVANICA	Manis javanica	Manis	Manidae	Pholidota
9796	EQUUS_CABALLUS	Equus caballus	Equus	Equidae	Perissodactyla
9798	EQUUS_PRZEWALSKII	Equus przewalskii	Equus	Equidae	Perissodactyla
9793	EQUUS_ASINUS	Equus asinus	Equus	Equidae	Perissodactyla
9807	CERATOTHERIUM_SIMUM	Ceratotherium simum	Ceratotherium	Rhinocerotidae	Perissodactyla
9837	CAMELUS_BACTRIANUS	Camelus bactrianus	Camelus	Camelidae	Artiodactyla
419612	CAMELUS_FERUS	Camelus ferus	Camelus	Camelidae	Artiodactyla
9838	CAMELUS_DROMEDARIUS	Camelus dromedarius	Camelus	Camelidae	Artiodactyla
30538	VICUGNA_PACOS	Vicugna pacos	Vicugna	Camelidae	Artiodactyla
9733	ORCINUS_ORCA	Orcinus orca	Orcinus	Delphinidae	Artiodactyla
9739	TURSIOPS_TRUNCATUS	Tursiops truncatus	Tursiops	Delphinidae	Artiodactyla
9749	DELPHINAPTERUS_LEUCAS	Delphinapterus leucas	Delphinapterus	Monodontidae	Artiodactyla
118797	LIPOTES_VEXILLIFER	Lipotes vexillifer	Lipotes	Lipotidae	Artiodactyla
9755	PHYSETER_CATODON	Physeter catodon	Physeter	Physeteridae	Artiodactyla
9767	BALAENOPTERA_ACUTOROSTRATA	Balaenoptera acutorostrata	Balaenoptera	Balaenopteridae	Artiodactyla
9915	BOS_INDICUS	Bos indicus	Bos	Bovidae	Artiodactyla
9913	BOS_TAURUS	Bos taurus	Bos	Bovidae	Artiodactyla
30521	BOS_GRUNNIENS	Bos grunniens	Bos	Bovidae	Artiodactyla
9901	BISON_BISON	Bison bison	Bison	Bovidae	Artiodactyla
89462	BUBALUS_BUBALIS	Bubalus bubalis	Bubalus	Bovidae	Artiodactyla
9925	CAPRA_HIRCUS	Capra hircus	Capra	Bovidae	Artiodactyla
9940	OVIS_ARIES	Ovis aries	Ovis	Bovidae	Artiodactyla
59538	PANTHOLOPS_HODGSONII	Pantholops hodgsonii	Pantholops	Bovidae	Artiodactyla
9874	ODOCOILEUS_VIRGINIANUS	Odocoileus virginianus	Odocoileus	Cervidae	Artiodactyla
9823	SUS_SCROFA	Sus scrofa	Sus	Suidae	Artiodactyla
186990	HIPPOSIDEROS_ARMIGER	Hipposideros armiger	Hipposideros	Hipposideridae	Chiroptera
89399	RHINOLOPHUS_SINICUS	Rhinolophus sinicus	Rhinolophus	Rhinolophidae	Chiroptera
9402	PTEROPUS_ALECTO	Pteropus alecto	Pteropus	Pteropodidae	Chiroptera
132908	PTEROPUS_VAMPYRUS	Pteropus vampyrus	Pteropus	Pteropodidae	Chiroptera
9407	ROUSETTUS_AEGYPTIACUS	Rousettus aegyptiacus	Rousettus	Pteropodidae	Chiroptera
109478	MYOTIS_BRANDTII	Myotis brandtii	Myotis	Vespertilionidae	Chiroptera
59463	MYOTIS_LUCIFUGUS	Myotis lucifugus	Myotis	Vespertilionidae	Chiroptera
225400	MYOTIS_DAVIDII	Myotis davidii	Myotis	Vespertilionidae	Chiroptera
29078	EPTESICUS_FUSCUS	Eptesicus fuscus	Eptesicus	Vespertilionidae	Chiroptera
291302	MINIOPTERUS_NATALENSIS	Miniopterus natalensis	Miniopterus	Vespertilionidae	Chiroptera
9978	OCHOTONA_PRINCEPS	Ochotona princeps	Ochotona	Ochotonidae	Lagomorpha
9986	ORYCTOLAGUS_CUNICULUS	Oryctolagus cuniculus	Oryctolagus	Leporidae	Lagomorpha
885580	FUKOMYS_DAMARENSIS	Fukomys damarensis	Fukomys	Bathyergidae	Rodentia
10181	HETEROCEPHALUS_GLABER	Heterocephalus glaber	Heterocephalus	Bathyergidae	Rodentia
34839	CHINCHILLA_LANIGERA	Chinchilla lanigera	Chinchilla	Chinchillidae	Rodentia
10160	OCTODON_DEGUS	Octodon degus	Octodon	Octodontidae	Rodentia
10141	CAVIA_PORCELLUS	Cavia porcellus	Cavia	Caviidae	Rodentia
10089	MUS_CAROLI	Mus caroli	Mus	Muridae	Rodentia
10090	MUS_MUSCULUS	Mus musculus	Mus	Muridae	Rodentia
10093	MUS_PAHARI	Mus pahari	Mus	Muridae	Rodentia
10116	RATTUS_NORVEGICUS	Rattus norvegicus	Rattus	Muridae	Rodentia
10047	MERIONES_UNGUICULATUS	Meriones unguiculatus	Meriones	Muridae	Rodentia
10029	CRICETULUS_GRISEUS	Cricetulus griseus	Cricetulus	Cricetidae	Rodentia
10036	MESOCRICETUS_AURATUS	Mesocricetus auratus	Mesocricetus	Cricetidae	Rodentia
79684	MICROTUS_OCHROGASTER	Microtus ochrogaster	Microtus	Cricetidae	Rodentia
10042	PEROMYSCUS_MANICULATUS	Peromyscus maniculatus	Peromyscus	Cricetidae	Rodentia
1026970	NANNOSPALAX_GALILI	Nannospalax galili	Nannospalax	Spalacidae	Rodentia
51337	JACULUS_JACULUS	Jaculus jaculus	Jaculus	Dipodidae	Rodentia
51338	CASTOR_CANADENSIS	Castor canadensis	Castor	Castoridae	Rodentia
10020	DIPODOMYS_ORDII	Dipodomys ordii	Dipodomys	Heteromyidae	Rodentia
43179	ICTIDOMYS_TRIDECEMLINEATUS	Ictidomys tridecemlineatus	Ictidomys	Sciuridae	Rodentia
9993	MARMOTA_MARMOTA	Marmota marmota	Marmota	Sciuridae	Rodentia
30608	MICROCEBUS_MURINUS	Microcebus murinus	Microcebus	Cheirogaleidae	Primates
379532	PROPITHECUS_COQUERELI	Propithecus coquereli	Propithecus	Indriidae	Primates
30611	OTOLEMUR_GARNETTII	Otolemur garnettii	Otolemur	Galagidae	Primates
37293	AOTUS_NANCYMAAE	Aotus nancymaae	Aotus	Aotidae	Primates
9483	CALLITHRIX_JACCHUS	Callithrix jacchus	Callithrix	Cebidae	Primates
9516	CEBUS_CAPUCINUS	Cebus capucinus	Cebus	Cebidae	Primates
27679	SAIMIRI_BOLIVIENSIS	Saimiri boliviensis	Saimiri	Cebidae	Primates
9531	CERCOCEBUS_ATYS	Cercocebus atys	Cercocebus	Cercopithecidae	Primates
9568	MANDRILLUS_LEUCOPHAEUS	Mandrillus leucophaeus	Mandrillus	Cercopithecidae	Primates
9555	PAPIO_ANUBIS	Papio anubis	Papio	Cercopithecidae	Primates
9541	MACACA_FASCICULARIS	Macaca fascicularis	Macaca	Cercopithecidae	Primates
9544	MACACA_MULATTA	Macaca mulatta	Macaca	Cercopithecidae	Primates
9545	MACACA_NEMESTRINA	Macaca nemestrina	Macaca	Cercopithecidae	Primates
60711	CHLOROCEBUS_SABAEUS	Chlorocebus sabaeus	Chlorocebus	Cercopithecidae	Primates
61621	RHINOPITHECUS_BIETI	Rhinopithecus bieti	Rhinopithecus	Cercopithecidae	Primates
61622	RHINOPITHECUS_ROXELLANA	Rhinopithecus roxellana	Rhinopithecus	Cercopithecidae	Primates
54131	COLOBUS_ANGOLENSIS	Colobus angolensis	Colobus	Cercopithecidae	Primates
591936	PILIOCOLOBUS_TEPHROSCELES	Piliocolobus tephrosceles	Piliocolobus	Cercopithecidae	Primates
9597	PAN_PANISCUS	Pan paniscus	Pan	Hominidae	Primates
9598	PAN_TROGLODYTES	Pan troglodytes	Pan	Hominidae	Primates
9606	HOMO_SAPIENS	Homo sapiens	Homo	Hominidae	Primates
9593	GORILLA_GORILLA	Gorilla gorilla	Gorilla	Hominidae	Primates
9601	PONGO_ABELII	Pongo abelii	Pongo	Hominidae	Primates
61853	NOMASCUS_LEUCOGENYS	Nomascus leucogenys	Nomascus	Hylobatidae	Primates
1868482	CARLITO_SYRICHTA	Carlito syrichta	Carlito	Tarsiidae	Primates
482537	GALEOPTERUS_VARIEGATUS	Galeopterus variegatus	Galeopterus	Cynocephalidae	Dermoptera
9785	LOXODONTA_AFRICANA	Loxodonta africana	Loxodonta	Elephantidae	Proboscidea
9778	TRICHECHUS_MANATUS	Trichechus manatus	Trichechus	Trichechidae	Sirenia
185453	CHRYSOCHLORIS_ASIATICA	Chrysochloris asiatica	Chrysochloris	Chrysochloridae	Afrosoricida
9371	ECHINOPS_TELFAIRI	Echinops telfairi	Echinops	Tenrecidae	Afrosoricida
28737	ELEPHANTULUS_EDWARDII	Elephantulus edwardii	Elephantulus	Macroscelididae	Macroscelidea
9818	ORYCTEROPUS_AFER	Orycteropus afer	Orycteropus	Orycteropodidae	Tubulidentata
9361	DASYPUS_NOVEMCINCTUS	Dasypus novemcinctus	Dasypus	Dasypodidae	Cingulata
9258	ORNITHORHYNCHUS_ANATINUS	Ornithorhynchus anatinus	Ornithorhynchus	Ornithorhynchidae	Monotremata